Unit 196 -> (tensor(0.9814, device='cuda:0', dtype=torch.float16), 0.02099609375)
Unit 197 -> (tensor(0.9170, device='cuda:0', dtype=torch.float16), 0.03515625)
Unit 198 -> (tensor(0.9868, device='cuda:0', dtype=torch.float16), 0.1455078125)
Unit 199 -> (tensor(0.9722, device='cuda:0', dtype=torch.float16), 1.9814453125)
Unit 200 -> (tensor(0.9771, device='cuda:0', dtype=torch.float16), 1.8701171875)
Unit 201 -> (tensor(0.9961, device='cuda:0', dtype=torch.float16), 0.8082275390625)
Unit 202 -> (tensor(0.9790, device='cuda:0', dtype=torch.float16), 0.02734375)
Unit 203 -> (tensor(0.9795, device='cuda:0', dtype=torch.float16), 0.14599609375)
Unit 204 -> (tensor(0.9932, device='cuda:0', dtype=torch.float16), 0.068359375)
Unit 205 -> (tensor(0.9937, device='cuda:0', dtype=torch.float16), 0.091796875)
Unit 206 -> (tensor(0.9707, device='cuda:0', dtype=torch.float16), 1.974609375)
Unit 207 -> (tensor(0.9766, device='cuda:0', dtype=torch.float16), 1.97509765625)
Unit 208 -> (tensor(0.9927, device='cuda:0', dtype=torch.float16), 0.09326171875)
Unit 209 -> (tensor(0.9570, device='cuda:0', dtype=torch.float16), 0.02783203125)
Unit 210 -> (tensor(0.9487, device='cuda:0', dtype=torch.float16), 0.04833984375)
Unit 211 -> (tensor(0.9741, device='cuda:0', dtype=torch.float16), 1.97265625)
Unit 212 -> (tensor(0.0230, device='cuda:0', dtype=torch.float16), 0.957061767578125)
Unit 213 -> (tensor(0.9961, device='cuda:0', dtype=torch.float16), 0.25634765625)
Unit 214 -> (tensor(0.9785, device='cuda:0', dtype=torch.float16), 0.1181640625)
Unit 215 -> (tensor(0.9961, device='cuda:0', dtype=torch.float16), 0.17529296875)
Unit 216 -> (tensor(0.9985, device='cuda:0', dtype=torch.float16), 1.91259765625)
Unit 217 -> (tensor(0.3005, device='cuda:0', dtype=torch.float16), 1.03216552734375)
Unit 218 -> (tensor(0.9731, device='cuda:0', dtype=torch.float16), 1.9658203125)
Unit 219 -> (tensor(0.9639, device='cuda:0', dtype=torch.float16), 1.99169921875)
Unit 220 -> (tensor(0.9819, device='cuda:0', dtype=torch.float16), 1.94140625)
Unit 221 -> (tensor(0.9814, device='cuda:0', dtype=torch.float16), 0.0087890625)
Unit 222 -> (tensor(0., device='cuda:0', dtype=torch.float16), nan)
Unit 223 -> (tensor(0.9932, device='cuda:0', dtype=torch.float16), 1.94091796875)
Unit 224 -> (tensor(0.9976, device='cuda:0', dtype=torch.float16), 0.8817138671875)
Unit 225 -> (tensor(0.9814, device='cuda:0', dtype=torch.float16), 0.037109375)
Unit 226 -> (tensor(0.9702, device='cuda:0', dtype=torch.float16), 1.95654296875)
Unit 227 -> (tensor(0.9399, device='cuda:0', dtype=torch.float16), 0.0205078125)
Unit 228 -> (tensor(0.9556, device='cuda:0', dtype=torch.float16), 0.3388671875)
Unit 229 -> (tensor(0.9297, device='cuda:0', dtype=torch.float16), 1.9775390625)
Unit 230 -> (tensor(0., device='cuda:0', dtype=torch.float16), nan)
Unit 231 -> (tensor(0.9922, device='cuda:0', dtype=torch.float16), 1.8349609375)
Unit 232 -> (tensor(0.9868, device='cuda:0', dtype=torch.float16), 1.88330078125)
Unit 233 -> (tensor(0.9956, device='cuda:0', dtype=torch.float16), 0.55908203125)
Unit 234 -> (tensor(0.9819, device='cuda:0', dtype=torch.float16), 1.9638671875)
Unit 235 -> (tensor(0.9697, device='cuda:0', dtype=torch.float16), 1.91796875)
Unit 236 -> (tensor(0.9907, device='cuda:0', dtype=torch.float16), 1.9765625)
Unit 237 -> (tensor(0.9722, device='cuda:0', dtype=torch.float16), 0.10302734375)
Unit 238 -> (tensor(0.9336, device='cuda:0', dtype=torch.float16), 0.25244140625)
Unit 239 -> (tensor(0.9839, device='cuda:0', dtype=torch.float16), 0.08251953125)
Unit 240 -> (tensor(0.9873, device='cuda:0', dtype=torch.float16), 0.21728515625)
Unit 241 -> (tensor(0.9941, device='cuda:0', dtype=torch.float16), 0.359375)
Unit 242 -> (tensor(0.9561, device='cuda:0', dtype=torch.float16), 0.03564453125)
Unit 243 -> (tensor(0.9414, device='cuda:0', dtype=torch.float16), 0.01416015625)
Unit 244 -> (tensor(0.9873, device='cuda:0', dtype=torch.float16), 0.06005859375)
